CustomerKey,GeographyKey,CustomerAlternateKey,Customer full name,Birth date,Gender,YearlyIncome
11000,26,AW00011000,JonVYang,1971-10-06,M,90000
11001,37,AW00011001,EugeneLHuang,1976-05-10,M,60000
11002,31,AW00011002,RubenTorres,1971-02-09,M,60000
11003,11,AW00011003,ChristyZhu,1973-08-14,F,70000
11004,19,AW00011004,ElizabethJohnson,1979-08-05,F,80000
11005,22,AW00011005,JulioRuiz,1976-08-01,M,70000
11006,8,AW00011006,JanetGAlvarez,1976-12-02,F,70000
11007,40,AW00011007,MarcoMehta,1969-11-06,M,60000
11008,32,AW00011008,RobVerhoff,1975-07-04,F,60000
11009,25,AW00011009,ShannonCCarlson,1969-09-29,M,70000
11010,22,AW00011010,JacquelynCSuarez,1969-08-05,F,70000
11011,22,AW00011011,CurtisLu,1969-05-03,M,60000
11012,611,AW00011012,LaurenMWalker,1979-01-14,F,100000
11013,543,AW00011013,IanMJenkins,1979-08-03,M,100000
11014,634,AW00011014,SydneyBennett,1973-11-06,F,100000
11015,301,AW00011015,ChloeYoung,1984-08-26,F,30000
11016,329,AW00011016,WyattLHill,1984-10-25,M,30000
11017,39,AW00011017,ShannonWang,1949-12-24,F,20000
11018,32,AW00011018,ClarenceDRai,1955-10-06,M,30000
11019,52,AW00011019,LukeLLal,1983-09-04,M,40000
11020,53,AW00011020,JordanCKing,1984-03-19,M,40000
11021,536,AW00011021,DestinyWilson,1984-03-02,F,40000
11022,609,AW00011022,EthanGZhang,1984-04-10,M,40000
11023,298,AW00011023,SethMEdwards,1984-04-09,M,40000
11024,311,AW00011024,RussellXie,1984-03-16,M,60000
11025,24,AW00011025,AlejandroBeck,1951-06-22,M,10000
11026,4,AW00011026,HaroldSai,1951-10-01,M,30000
11027,40,AW00011027,JessieRZhao,1952-06-05,M,30000
11028,17,AW00011028,JillJimenez,1951-10-09,F,30000
11029,32,AW00011029,JimmyLMoreno,1952-06-19,M,30000
11030,28,AW00011030,BethanyGYuan,1958-02-18,F,10000
11031,8,AW00011031,TheresaGRamos,1953-02-18,F,20000
11032,35,AW00011032,DeniseStone,1952-12-08,F,20000
11033,9,AW00011033,JaimeNath,1958-09-19,M,20000
11034,12,AW00011034,EbonyGonzalez,1952-12-16,F,20000
11035,33,AW00011035,WendyDominguez,1953-08-23,F,10000
11036,343,AW00011036,JenniferCRussell,1984-06-16,F,60000
11037,49,AW00011037,ChloeMGarcia,1983-05-27,F,40000
11038,6,AW00011038,DianaFHernandez,1953-09-20,F,10000
11039,19,AW00011039,MarcJMartin,1954-06-16,M,30000
11040,642,AW00011040,JesseMurphy,1983-01-29,M,30000
11041,325,AW00011041,AmandaMCarter,1983-04-15,F,60000
11042,338,AW00011042,MeganJSanchez,1982-12-11,F,70000
11043,325,AW00011043,NathanMSimmons,1981-08-23,M,60000
11044,25,AW00011044,AdamLFlores,1954-11-21,M,20000
11045,8,AW00011045,LeonardGNara,1955-11-16,M,30000
11046,6,AW00011046,ChristineYuan,1955-09-19,F,30000
11047,34,AW00011047,JaclynDLu,1955-08-27,F,30000
11048,39,AW00011048,JeremyPowell,1956-05-21,M,30000
11049,307,AW00011049,CarolCRai,1986-01-15,F,40000
11050,31,AW00011050,AlanZheng,1957-03-06,M,30000
11051,21,AW00011051,DanielJohnson,1957-01-31,M,30000
11052,8,AW00011052,HeidiLopez,1957-02-03,F,40000
11053,359,AW00011053,AnaEPrice,1986-02-17,F,60000
11054,34,AW00011054,DeannaMunoz,1957-09-07,F,40000
11055,22,AW00011055,GilbertRaje,1957-09-02,M,40000
11056,10,AW00011056,MicheleLNath,1958-10-01,F,40000
11057,5,AW00011057,CarlJAndersen,1970-04-07,M,70000
11058,29,AW00011058,MarcDiaz,1965-04-23,M,80000
11059,27,AW00011059,AshleeJAndersen,1959-09-29,F,80000
11060,40,AW00011060,JonLZhou,1959-09-14,M,80000
11061,23,AW00011061,ToddMGao,1976-02-20,M,80000
11062,547,AW00011062,NoahDPowell,1981-03-01,M,40000
11063,634,AW00011063,AngelaMurphy,1980-10-04,F,40000
11064,315,AW00011064,ChaseReed,1981-06-05,M,40000
11065,331,AW00011065,JessicaHenderson,1979-04-08,F,60000
11066,543,AW00011066,GraceTButler,1979-05-27,F,70000
11067,632,AW00011067,CalebFCarter,1982-03-25,M,60000
11068,40,AW00011068,TiffanyLiang,1966-09-19,F,80000
11069,23,AW00011069,CarolynNavarro,1966-09-17,F,80000
11070,39,AW00011070,WillieTRaji,1960-10-02,M,80000
11071,24,AW00011071,LindaSerrano,1960-12-23,F,80000
11072,17,AW00011072,CaseyLuo,1960-08-05,F,80000
11073,16,AW00011073,AmyYe,1962-02-11,F,70000
11074,28,AW00011074,LeviAArun,1962-02-25,M,70000
11075,32,AW00011075,FeliciaLJimenez,1963-05-16,F,80000
11076,19,AW00011076,BlakeAnderson,1963-01-10,M,80000
11077,36,AW00011077,LeahYe,1963-03-19,F,80000
11078,49,AW00011078,GinaEMartin,1985-01-06,F,40000
11079,34,AW00011079,DonaldGonzalez,1970-03-07,M,160000
11080,30,AW00011080,DamienChander,1965-01-13,M,170000
11081,311,AW00011081,SavannahCBaker,1972-01-21,F,120000
11082,322,AW00011082,AngelaLButler,1972-02-01,F,130000
11083,336,AW00011083,AlyssaFCox,1977-03-11,F,130000
11084,543,AW00011084,LucasPhillips,1963-03-12,M,80000
11085,345,AW00011085,EmilyJohnson,1963-01-16,F,60000
11086,369,AW00011086,RyanBrown,1963-06-22,M,70000
11087,307,AW00011087,TamaraLLiang,1963-04-02,F,70000
11088,359,AW00011088,HunterDavis,1963-05-25,M,80000
11089,337,AW00011089,AbigailMPrice,1962-08-05,F,80000
11090,338,AW00011090,TrevorBryant,1968-12-13,M,90000
11091,50,AW00011091,DaltonPerez,1962-10-02,M,90000
11092,22,AW00011092,CherylADiaz,1972-11-02,F,90000
11093,19,AW00011093,AimeeAHe,1978-09-06,F,100000
11094,33,AW00011094,CedricWMa,1967-09-29,M,70000
11095,13,AW00011095,ChadKumar,1968-02-29,M,70000
11096,12,AW00011096,AndresAnand,1968-02-07,M,60000
11097,40,AW00011097,EdwinRNara,1972-10-23,M,60000
11098,14,AW00011098,MallorySRubio,1966-10-29,F,60000
11099,13,AW00011099,AdamRoss,1966-09-05,M,60000
11100,28,AW00011100,LatashaLNavarro,1966-03-15,F,60000
11101,33,AW00011101,AbbyLSai,1970-11-05,F,70000
